Genus_spp,Orientation,current,Habitat_Type,os_ht,median_dens,mean_dens,sd_dens,max_dens,min_dens,cluster,os
Halichoeres semicinctus,Parallel,Down-current,Medium Ecotone,East Parallel Ecotone_Medium,0,0.5208333333333334,1.2164046002523796,3.125,0,Group 3,Inshore
Halichoeres semicinctus,Parallel,Down-current,Medium Relief,East Parallel Mid_Medium,0,0.22501708182884372,0.7794820365968819,2.7002049819461247,0,Group 3,Inshore
Halichoeres semicinctus,Parallel,Down-current,Low Relief,East Parallel Mid_Low,0,0.4703203209020987,1.629237383269067,5.643843850825184,0,Group 4,Inshore
Halichoeres semicinctus,Parallel,Up-current,Low Ecotone,West Parallel Ecotone_Low,0,0.5208333333333334,1.2164046002523796,3.125,0,Group 4,Offshore
Halichoeres semicinctus,Parallel,Up-current,Medium Ecotone,West Parallel Ecotone_Medium,0,0.5208333333333334,1.2164046002523796,3.125,0,Group 4,Offshore
Halichoeres semicinctus,Perpendicular,Down-current,Low Relief,East Perpendicular Mid_Low,0,0.5025184524238241,1.2309137947714337,3.0151107145429448,0,Group 4,East
Halichoeres semicinctus,Perpendicular,Up-current,High Ecotone,West Perpendicular Ecotone_High,1.5625,2.6041666666666665,3.072475250781797,6.25,0,Group 4,West
Halichoeres semicinctus,Parallel,Down-current,High Relief,East Parallel Mid_High,0,0,0,0,0,Group 5,Inshore
Halichoeres semicinctus,Parallel,Up-current,Low Relief,West Parallel Mid_Low,0,0,0,0,0,Group 5,Offshore
Halichoeres semicinctus,Perpendicular,Down-current,Low Ecotone,East Perpendicular Ecotone_Low,0,0,0,0,0,Group 5,East
Halichoeres semicinctus,Perpendicular,Down-current,Medium Ecotone,East Perpendicular Ecotone_Medium,0,0,0,0,0,Group 5,East
Halichoeres semicinctus,Perpendicular,Down-current,Medium Relief,East Perpendicular Mid_Medium,0,0,0,0,0,Group 5,East
Halichoeres semicinctus,Perpendicular,Up-current,Low Ecotone,West Perpendicular Ecotone_Low,0,0,0,0,0,Group 5,West
Halichoeres semicinctus,Perpendicular,Up-current,Low Relief,West Perpendicular Mid_Low,0,0,0,0,0,Group 5,West
Halichoeres semicinctus,Parallel,Up-current,High Ecotone,West Parallel Ecotone_High,0,0.5208333333333334,1.8042195912175805,6.25,0,Group 6,Offshore
Halichoeres semicinctus,Parallel,Up-current,High Relief,West Parallel Mid_High,0,0.3555907032824994,0.8330201147088366,2.2859626092485614,0,Group 6,Offshore
Halichoeres semicinctus,Parallel,Up-current,Medium Relief,West Parallel Mid_Medium,0,0.3035910856769058,1.0516703702347936,3.6430930281228693,0,Group 6,Offshore
Halichoeres semicinctus,Perpendicular,Down-current,High Relief,East Perpendicular Mid_High,0,0,0,0,0,Group 6,East
Halichoeres semicinctus,Perpendicular,Up-current,Medium Ecotone,West Perpendicular Ecotone_Medium,0,0.5208333333333334,1.275775907699572,3.125,0,Group 6,West
Halichoeres semicinctus,Perpendicular,Up-current,Medium Relief,West Perpendicular Mid_Medium,0,0.43639569583740706,1.0689467807484563,2.6183741750244423,0,Group 6,West
Girella nigricans,Perpendicular,Up-current,High Relief,West Perpendicular Mid_High,1.225956031483209,2.849389555340745,4.1116537236635455,10.484580279972185,0,Group 1,West
Girella nigricans,Perpendicular,Down-current,High Ecotone,East Perpendicular Ecotone_High,0,0,0,0,0,Group 2,East
Girella nigricans,Parallel,Down-current,High Ecotone,East Parallel Ecotone_High,0,0.5208333333333334,1.2164046002523796,3.125,0,Group 3,Inshore
Girella nigricans,Parallel,Down-current,Low Ecotone,East Parallel Ecotone_Low,0,0.78125,1.9424423765876908,6.25,0,Group 3,Inshore
Girella nigricans,Parallel,Down-current,Medium Ecotone,East Parallel Ecotone_Medium,0,0.5208333333333334,1.8042195912175805,6.25,0,Group 3,Inshore
